"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"01.01.2025","189.38","173.35","196.00","170.80","36.89M","9.63%"
"01.12.2024","172.74","173.42","186.62","170.50","30.77M","0.41%"
"01.11.2024","172.04","172.00","181.79","166.50","32.18M","0.43%"
"01.10.2024","171.31","185.02","188.51","168.99","37.97M","-6.95%"
"01.09.2024","184.10","175.95","192.00","173.95","31.56M","4.39%"
"01.08.2024","176.35","182.17","190.75","171.26","40.33M","-3.81%"
"01.07.2024","183.34","180.04","186.98","173.54","31.06M","2.19%"
"01.06.2024","179.41","168.22","185.28","160.08","46.48M","3.67%"
"01.05.2024","173.06","168.93","174.95","158.68","42.81M","3.55%"
"01.04.2024","167.12","184.35","184.35","163.52","36.28M","-7.90%"
"01.03.2024","181.45","182.08","195.00","178.47","23.14M","-1.18%"
"01.02.2024","183.61","191.55","201.94","181.09","22.33M","-6.11%"
"01.01.2024","195.56","185.05","195.70","176.83","20.28M","5.47%"
"01.12.2023","185.41","173.51","191.41","173.19","23.88M","4.54%"
"01.11.2023","177.35","162.90","180.40","161.10","31.56M","9.70%"
"01.10.2023","161.67","158.50","170.56","149.18","32.53M","2.14%"
"01.09.2023","158.28","166.22","167.84","156.00","26.35M","-4.65%"
"01.08.2023","166.00","169.49","169.49","152.88","48.28M","-1.05%"
"01.07.2023","167.76","175.68","179.98","167.46","25.74M","-4.65%"
"01.06.2023","175.94","178.44","182.21","170.96","40.88M","-1.62%"
"01.05.2023","178.83","165.17","183.03","165.17","53.82M","4.52%"
"01.04.2023","171.10","163.62","174.64","160.28","20.35M","4.56%"
"01.03.2023","163.64","153.41","168.74","151.56","42.87M","5.97%"
"01.02.2023","154.42","166.20","171.19","149.70","31.24M","-7.17%"
"01.01.2023","166.34","159.50","169.22","154.70","31.76M","5.12%"
"01.12.2022","158.24","160.28","170.62","157.10","32.87M","-1.73%"
"01.11.2022","161.02","162.65","172.89","154.17","39.92M","-0.78%"
"01.10.2022","162.29","145.19","162.60","138.86","104.55M","11.91%"
"01.09.2022","145.02","135.86","146.19","135.86","37.69M","5.74%"
"01.08.2022","137.15","141.95","145.11","136.25","39.71M","-2.88%"
"01.07.2022","141.21","132.93","144.88","127.80","27.77M","6.57%"
"01.06.2022","132.50","131.57","134.56","125.64","53.44M","-0.96%"
"01.05.2022","133.79","129.49","135.43","125.14","39.09M","3.32%"
"01.04.2022","129.49","135.00","137.19","123.10","25.27M","-4.26%"
"01.03.2022","135.25","135.45","136.47","126.70","34.14M","0.10%"
"01.02.2022","135.12","121.80","137.63","117.40","38.07M","10.75%"
"01.01.2022","122.01","130.45","131.70","119.19","43.09M","-6.52%"
"01.12.2021","130.52","130.77","135.00","127.55","45.85M","-0.19%"
"01.11.2021","130.77","126.60","133.88","124.76","38.26M","4.17%"
"01.10.2021","125.53","124.91","128.14","123.31","30.73M","-0.28%"
"01.09.2021","125.88","129.80","130.00","121.27","31.53M","-2.70%"
"01.08.2021","129.37","120.56","129.75","120.00","29.34M","7.40%"
"01.07.2021","120.46","115.98","123.98","114.83","35.65M","4.19%"
"01.06.2021","115.62","113.35","116.43","110.47","34.10M","2.28%"
"01.05.2021","113.04","108.46","114.99","105.00","41.34M","4.22%"
"01.04.2021","108.46","101.50","114.23","100.86","30.70M","7.55%"
"01.03.2021","100.85","94.57","105.41","94.44","30.70M","6.42%"
"01.02.2021","94.77","93.32","98.50","92.39","26.15M","1.83%"
"01.01.2021","93.07","95.78","102.79","92.71","36.29M","-2.73%"
