"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"01.01.2025","14.470","15.020","15.120","14.100","1.04B","-3.21%"
"01.12.2024","14.950","15.260","15.570","14.090","1.20B","-1.71%"
"01.11.2024","15.210","15.870","16.280","14.880","1.37B","-3.80%"
"01.10.2024","15.810","16.010","17.210","15.450","1.49B","-2.11%"
"01.09.2024","16.150","16.380","16.650","15.340","1.36B","-0.92%"
"01.08.2024","16.300","15.490","16.810","15.230","1.50B","4.76%"
"01.07.2024","15.560","15.630","16.690","15.430","1.78B","-0.06%"
"01.06.2024","15.570","15.380","16.200","15.010","1.92B","-0.95%"
"01.05.2024","15.720","16.250","17.130","15.670","1.67B","-3.62%"
"01.04.2024","16.310","15.580","16.620","14.990","1.65B","4.69%"
"01.03.2024","15.580","16.000","16.400","15.150","1.49B","-2.38%"
"01.02.2024","15.960","15.630","16.620","14.490","1.57B","2.64%"
"01.01.2024","15.550","15.770","15.970","15.100","1.49B","-1.21%"
"01.12.2023","15.740","15.700","16.410","15.490","1.46B","0.19%"
"01.11.2023","15.710","14.910","15.910","14.710","1.34B","5.51%"
"01.10.2023","14.890","15.160","15.520","14.510","1.67B","-1.33%"
"01.09.2023","15.090","16.200","16.410","14.680","2.06B","-5.98%"
"01.08.2023","16.050","17.520","17.620","15.660","4.33B","-8.55%"
"01.07.2023","17.550","18.650","18.850","17.350","1.37B","-5.65%"
"01.06.2023","18.600","18.920","19.820","18.360","1.63B","-1.48%"
"01.05.2023","18.880","19.370","20.230","18.440","2.24B","-2.63%"
"01.04.2023","19.390","18.940","19.680","18.870","917.11M","2.43%"
"01.03.2023","18.930","18.910","20.240","18.510","1.47B","-0.26%"
"01.02.2023","18.980","19.650","19.700","18.080","1.24B","-3.56%"
"01.01.2023","19.680","17.680","20.110","17.630","731.48M","11.31%"
"01.12.2022","17.680","18.750","19.020","17.570","865.16M","-5.81%"
"01.11.2022","18.770","18.730","20.250","18.470","1.16B","0.11%"
"01.10.2022","18.750","16.730","18.800","16.220","1.60B","12.75%"
"01.09.2022","16.630","17.110","18.210","16.430","1.55B","-3.15%"
"01.08.2022","17.170","19.400","19.780","17.030","1.22B","-11.49%"
"01.07.2022","19.400","20.580","21.070","18.410","994.28M","-5.60%"
"01.06.2022","20.550","20.850","21.080","19.130","1.31B","-1.25%"
"01.05.2022","20.810","19.850","22.300","18.550","2.26B","4.78%"
"01.04.2022","19.860","21.120","22.490","19.750","1.01B","-5.97%"
"01.03.2022","21.120","18.520","21.220","18.380","1.62B","14.10%"
"01.02.2022","18.510","19.470","19.650","17.700","1.72B","-4.64%"
"01.01.2022","19.410","21.800","21.850","18.620","926.46M","-10.51%"
"01.12.2021","21.690","18.770","21.890","18.760","812.10M","15.31%"
"01.11.2021","18.810","18.450","19.250","18.140","1.01B","2.51%"
"01.10.2021","18.350","18.260","18.650","17.260","902.94M","0.49%"
"01.09.2021","18.260","19.900","19.900","17.760","1.07B","-7.64%"
"01.08.2021","19.770","16.730","19.840","16.490","1.02B","18.53%"
"01.07.2021","16.680","14.920","16.860","14.610","724.77M","11.20%"
"01.06.2021","15.000","15.600","16.300","14.950","858.87M","-3.72%"
"01.05.2021","15.580","14.210","15.730","13.950","891.28M","10.11%"
"01.04.2021","14.150","14.040","14.780","13.980","859.37M","1.36%"
"01.03.2021","13.960","13.470","14.500","13.250","1.17B","4.26%"
"01.02.2021","13.390","13.790","14.330","13.330","969.34M","-2.05%"
"01.01.2021","13.670","14.520","15.200","13.590","1.00B","-5.66%"
