"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"01.01.2025","563.08","537.42","590.00","518.10","7.36M","5.31%"
"01.12.2024","534.68","521.68","567.48","516.32","10.20M","3.00%"
"01.11.2024","519.09","535.16","560.48","507.50","9.41M","-3.00%"
"01.10.2024","535.17","560.15","561.57","521.24","7.11M","-3.98%"
"01.09.2024","557.37","530.59","579.99","513.12","7.25M","5.57%"
"01.08.2024","527.96","560.00","564.56","505.94","7.06M","-6.02%"
"01.07.2024","561.80","556.15","579.99","522.00","6.06M","2.00%"
"01.06.2024","550.80","570.00","589.85","526.78","10.94M","-3.46%"
"01.05.2024","570.56","588.45","600.23","538.76","7.97M","-3.04%"
"01.04.2024","588.45","530.00","615.92","512.82","8.92M","12.22%"
"01.03.2024","524.36","500.09","530.02","482.98","7.38M","4.85%"
"01.02.2024","500.09","507.00","541.08","475.00","10.74M","-0.33%"
"01.01.2024","501.73","496.95","515.00","451.39","11.18M","0.86%"
"01.12.2023","497.46","410.03","512.09","390.62","11.21M","21.31%"
"01.11.2023","410.07","389.35","416.08","380.00","9.68M","5.54%"
"01.10.2023","388.55","427.03","438.36","302.13","20.48M","-8.91%"
"01.09.2023","426.56","468.97","471.11","424.00","11.23M","-8.18%"
"01.08.2023","464.58","473.73","487.20","448.77","10.76M","-1.91%"
"01.07.2023","473.64","477.21","497.08","436.01","8.03M","-0.75%"
"01.06.2023","477.21","494.42","513.99","471.50","8.10M","-3.68%"
"01.05.2023","495.44","517.59","523.02","486.00","11.32M","-3.99%"
"01.04.2023","516.05","550.10","576.89","495.51","8.38M","-6.38%"
"01.03.2023","551.22","524.82","568.85","516.93","15.28M","5.03%"
"01.02.2023","524.82","511.45","527.68","492.86","10.11M","2.61%"
"01.01.2023","511.45","455.19","553.82","454.70","8.68M","12.49%"
"01.12.2022","454.66","477.80","500.42","452.01","8.85M","-4.75%"
"01.11.2022","477.33","463.70","487.00","433.42","8.87M","2.94%"
"01.10.2022","463.70","399.40","465.21","396.91","7.60M","16.90%"
"01.09.2022","396.67","425.46","447.54","390.27","10.01M","-7.04%"
"01.08.2022","426.71","385.50","453.00","381.56","10.21M","11.12%"
"01.07.2022","384.00","396.08","406.81","374.10","8.14M","-2.84%"
"01.06.2022","395.23","428.58","439.55","393.06","15.17M","-8.08%"
"01.05.2022","429.95","445.70","451.00","407.10","16.51M","-3.46%"
"01.04.2022","445.37","444.00","459.68","400.00","8.10M","0.32%"
"01.03.2022","443.93","442.90","449.57","386.79","9.49M","0.23%"
"01.02.2022","442.91","417.36","469.00","411.06","8.58M","6.04%"
"01.01.2022","417.67","426.52","440.04","386.97","9.08M","-1.20%"
"01.12.2021","422.76","394.88","432.00","394.01","10.69M","7.62%"
"01.11.2021","392.83","419.79","432.65","380.06","9.06M","-5.39%"
"01.10.2021","415.19","383.00","418.50","379.35","8.73M","7.63%"
"01.09.2021","385.77","362.70","388.99","354.38","7.67M","7.03%"
"01.08.2021","360.43","360.18","367.11","334.00","11.39M","-0.33%"
"01.07.2021","361.61","370.44","379.48","347.14","12.34M","-1.71%"
"01.06.2021","367.89","365.29","386.00","344.51","14.26M","1.27%"
"01.05.2021","363.28","344.42","373.71","343.00","8.34M","6.03%"
"01.04.2021","342.61","364.99","383.19","338.90","7.57M","-5.62%"
"01.03.2021","363.03","392.97","397.05","340.51","15.14M","-7.26%"
"01.02.2021","391.43","325.00","393.00","325.00","7.99M","21.36%"
"01.01.2021","322.53","331.54","361.45","310.58","7.18M","-2.03%"
