"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"01.01.2025","54.410","55.700","56.380","49.300","42.33M","-1.50%"
"01.12.2024","55.240","59.910","61.410","54.060","46.36M","-7.58%"
"01.11.2024","59.770","62.450","67.300","58.700","60.87M","-3.84%"
"01.10.2024","62.160","67.880","68.760","61.500","32.52M","-8.26%"
"01.09.2024","67.760","70.820","71.650","66.290","35.81M","-3.85%"
"01.08.2024","70.470","65.200","71.040","64.230","35.73M","8.13%"
"01.07.2024","65.170","65.000","69.400","62.030","38.57M","0.87%"
"01.06.2024","64.610","63.900","72.500","60.720","76.92M","1.13%"
"01.05.2024","63.890","71.990","73.440","63.560","57.79M","-10.99%"
"01.04.2024","71.780","78.470","78.730","65.780","53.19M","-8.53%"
"01.03.2024","78.470","71.450","80.120","70.210","45.97M","10.06%"
"01.02.2024","71.300","78.880","83.070","70.970","41.13M","-9.20%"
"01.01.2024","78.520","86.070","88.800","76.530","39.61M","-8.64%"
"01.12.2023","85.950","87.270","89.990","85.710","31.42M","-1.93%"
"01.11.2023","87.640","73.210","88.400","73.210","51.47M","19.43%"
"01.10.2023","73.380","84.000","84.080","69.390","49.45M","-12.66%"
"01.09.2023","84.020","84.010","89.070","80.170","50.39M","0.17%"
"01.08.2023","83.880","87.040","91.800","81.870","72.46M","-3.38%"
"01.07.2023","86.810","91.650","93.690","85.000","34.23M","-5.28%"
"01.06.2023","91.650","94.500","95.880","89.810","41.49M","-3.08%"
"01.05.2023","94.560","96.300","103.410","86.130","37.39M","-1.81%"
"01.04.2023","96.300","90.240","96.810","89.150","21.85M","6.20%"
"01.03.2023","90.680","87.190","92.980","82.590","48.89M","4.41%"
"01.02.2023","86.850","93.950","94.680","86.020","38.17M","-7.63%"
"01.01.2023","94.020","82.500","98.000","82.500","41.04M","14.16%"
"01.12.2022","82.360","82.230","88.960","80.700","43.13M","0.51%"
"01.11.2022","81.940","76.810","90.340","76.570","42.19M","6.82%"
"01.10.2022","76.710","70.950","79.500","68.830","38.09M","8.09%"
"01.09.2022","70.970","66.470","75.520","65.840","48.99M","7.17%"
"01.08.2022","66.220","72.200","78.990","64.690","68.66M","-8.08%"
"01.07.2022","72.040","65.240","75.450","64.400","38.72M","10.20%"
"01.06.2022","65.370","64.530","67.120","60.000","78.68M","1.00%"
"01.05.2022","64.720","62.980","67.400","55.800","119.24M","2.89%"
"01.04.2022","62.900","59.800","66.000","54.510","62.72M","4.73%"
"01.03.2022","60.060","63.190","64.140","51.780","89.15M","-4.77%"
"01.02.2022","63.070","64.350","66.700","59.260","37.50M","-2.35%"
"01.01.2022","64.590","63.080","67.440","57.790","37.76M","2.57%"
"01.12.2021","62.970","56.590","63.900","53.880","68.25M","12.01%"
"01.11.2021","56.220","61.500","64.610","52.410","69.02M","-7.75%"
"01.10.2021","60.940","57.770","61.300","55.320","41.42M","5.00%"
"01.09.2021","58.040","51.050","58.990","49.100","55.92M","14.21%"
"01.08.2021","50.820","46.200","53.500","46.200","74.73M","10.77%"
"01.07.2021","45.880","43.950","47.480","43.000","36.47M","4.53%"
"01.06.2021","43.890","43.860","45.800","43.020","46.53M","0.09%"
"01.05.2021","43.850","40.680","44.000","38.950","67.84M","8.16%"
"01.04.2021","40.540","43.330","43.880","40.270","45.80M","-5.50%"
"01.03.2021","42.900","39.580","44.400","39.070","73.65M","9.16%"
"01.02.2021","39.300","39.690","41.100","37.070","63.76M","2.02%"
"01.01.2021","38.520","43.140","44.450","38.420","46.47M","-10.92%"
