"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"01.01.2025","12.300","11.680","12.680","10.970","765.66M","5.31%"
"01.12.2024","11.680","11.100","11.970","11.030","956.24M","4.85%"
"01.11.2024","11.140","10.540","12.270","10.330","815.97M","5.69%"
"01.10.2024","10.540","11.970","12.150","10.450","1.05B","-12.60%"
"01.09.2024","12.060","12.060","12.750","10.960","1.21B","0.75%"
"01.08.2024","11.970","11.930","12.780","11.090","1.21B","-0.58%"
"01.07.2024","12.040","11.760","12.530","11.000","1.14B","2.82%"
"01.06.2024","11.710","12.700","12.870","11.240","1.27B","-8.30%"
"01.05.2024","12.770","13.500","13.740","12.420","1.16B","-5.90%"
"01.04.2024","13.570","14.670","15.300","13.390","1.19B","-7.50%"
"01.03.2024","14.670","13.030","14.790","12.830","832.74M","12.59%"
"01.02.2024","13.030","14.300","15.000","12.940","993.59M","-8.88%"
"01.01.2024","14.300","13.220","14.440","12.530","902.68M","8.17%"
"01.12.2023","13.220","12.030","14.020","11.910","778.51M","9.53%"
"01.11.2023","12.070","10.840","12.500","10.810","809.52M","11.45%"
"01.10.2023","10.830","11.350","11.940","10.400","939.89M","-4.75%"
"01.09.2023","11.370","13.550","13.980","11.330","961.78M","-15.46%"
"01.08.2023","13.450","12.730","14.170","12.520","914.12M","5.74%"
"01.07.2023","12.720","12.110","13.680","11.260","708.00M","5.12%"
"01.06.2023","12.100","10.640","12.690","10.570","999.17M","13.72%"
"01.05.2023","10.640","10.840","12.010","10.500","1.01B","-1.48%"
"01.04.2023","10.800","9.890","10.950","9.500","569.50M","9.20%"
"01.03.2023","9.890","9.160","10.220","8.970","859.09M","7.97%"
"01.02.2023","9.160","10.050","10.530","8.860","642.65M","-8.76%"
"01.01.2023","10.040","7.950","10.120","7.850","495.23M","27.41%"
"01.12.2022","7.880","8.810","8.870","7.830","464.87M","-10.96%"
"01.11.2022","8.850","7.700","9.030","7.250","619.90M","14.94%"
"01.10.2022","7.700","6.970","7.730","6.480","532.87M","10.95%"
"01.09.2022","6.940","7.450","8.050","6.610","560.08M","-7.10%"
"01.08.2022","7.470","8.200","9.250","7.430","615.07M","-9.23%"
"01.07.2022","8.230","7.770","8.430","7.560","386.86M","5.11%"
"01.06.2022","7.830","9.250","9.310","6.690","982.48M","-15.44%"
"01.05.2022","9.260","8.980","9.370","7.850","815.08M","3.12%"
"01.04.2022","8.980","10.690","10.910","8.530","625.39M","-16.00%"
"01.03.2022","10.690","10.500","11.050","9.350","1.14B","1.62%"
"01.02.2022","10.520","12.750","12.990","10.030","791.07M","-16.51%"
"01.01.2022","12.600","14.080","14.190","11.000","705.76M","-9.94%"
"01.12.2021","13.990","13.350","14.100","12.400","723.10M","5.19%"
"01.11.2021","13.300","13.500","14.300","12.420","711.22M","0.45%"
"01.10.2021","13.240","14.890","14.920","13.180","700.50M","-11.08%"
"01.09.2021","14.890","16.440","16.580","13.760","671.17M","-9.76%"
"01.08.2021","16.500","16.350","16.790","15.370","550.56M","1.60%"
"01.07.2021","16.240","16.940","17.150","14.740","521.01M","-3.45%"
"01.06.2021","16.820","16.890","17.880","15.210","648.55M","0.06%"
"01.05.2021","16.810","16.240","17.480","15.750","561.62M","4.47%"
"01.04.2021","16.090","14.500","16.540","13.760","526.39M","11.58%"
"01.03.2021","14.420","13.880","15.750","12.850","816.52M","3.44%"
"01.02.2021","13.940","11.800","14.420","11.800","682.53M","18.54%"
"01.01.2021","11.760","10.320","13.190","10.270","905.47M","14.51%"
