"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"01.01.2025","176.15","178.70","180.64","167.18","51.93M","-0.87%"
"01.12.2024","177.70","179.80","186.67","171.00","51.53M","-0.64%"
"01.11.2024","178.85","193.80","198.45","172.88","52.38M","-7.92%"
"01.10.2024","194.23","193.80","202.36","188.39","38.19M","-0.07%"
"01.09.2024","194.36","200.70","207.11","191.01","53.87M","-3.52%"
"01.08.2024","201.45","206.76","213.90","200.67","81.08M","-2.09%"
"01.07.2024","205.74","197.10","215.77","190.25","43.79M","4.53%"
"01.06.2024","196.83","195.00","208.33","187.01","68.22M","1.18%"
"01.05.2024","194.54","200.41","208.50","191.19","67.12M","-2.93%"
"01.04.2024","200.41","215.64","218.93","196.03","46.28M","-7.06%"
"01.03.2024","215.64","212.83","219.90","203.05","48.01M","1.32%"
"01.02.2024","212.83","236.06","245.00","200.00","66.20M","-8.82%"
"01.01.2024","233.43","223.00","238.18","211.56","42.74M","5.62%"
"01.12.2023","221.00","220.00","228.15","217.40","34.25M","0.05%"
"01.11.2023","220.88","199.62","222.36","199.62","40.85M","8.24%"
"01.10.2023","204.06","190.30","204.56","181.66","51.01M","7.21%"
"01.09.2023","190.33","194.46","196.36","183.00","45.11M","-0.26%"
"01.08.2023","190.82","189.88","200.40","185.71","59.75M","0.55%"
"01.07.2023","189.78","189.80","194.58","175.10","31.93M","0.13%"
"01.06.2023","189.53","178.63","192.00","176.71","45.71M","6.41%"
"01.05.2023","178.12","173.95","180.58","168.00","47.12M","1.83%"
"01.04.2023","174.92","169.95","175.08","167.17","33.81M","1.82%"
"01.03.2023","171.80","169.17","173.42","162.01","75.57M","1.74%"
"01.02.2023","168.86","165.02","177.41","152.42","78.91M","2.38%"
"01.01.2023","164.94","150.49","165.69","149.12","62.74M","8.78%"
"01.12.2022","151.63","154.03","158.23","148.18","48.67M","-1.37%"
"01.11.2022","153.74","143.25","159.35","139.82","55.15M","8.09%"
"01.10.2022","142.23","127.24","142.67","125.01","60.13M","12.68%"
"01.09.2022","126.22","125.89","137.65","121.35","54.71M","-0.04%"
"01.08.2022","126.27","126.32","134.09","121.62","80.04M","-0.60%"
"01.07.2022","127.03","135.50","144.35","120.63","111.37M","-6.43%"
"01.06.2022","135.76","147.95","149.58","132.98","75.71M","-7.92%"
"01.05.2022","147.43","152.79","154.76","137.05","69.24M","-3.92%"
"01.04.2022","153.44","164.96","166.14","152.39","62.54M","-7.21%"
"01.03.2022","165.36","164.26","168.96","157.16","99.96M","0.20%"
"01.02.2022","165.03","156.00","166.38","151.66","54.25M","6.33%"
"01.01.2022","155.20","159.98","172.49","154.61","46.34M","-2.59%"
"01.12.2021","159.32","152.00","160.00","145.77","62.66M","4.51%"
"01.11.2021","152.45","171.90","173.00","152.00","60.23M","-9.93%"
"01.10.2021","169.26","178.21","178.81","165.07","35.87M","-5.56%"
"01.09.2021","179.23","175.99","180.66","166.43","52.26M","2.49%"
"01.08.2021","174.87","175.00","178.00","170.56","48.85M","0.69%"
"01.07.2021","173.68","168.73","176.88","164.43","39.36M","3.30%"
"01.06.2021","168.13","165.00","174.38","165.00","46.27M","0.44%"
"01.05.2021","167.39","157.47","170.16","156.70","52.69M","6.69%"
"01.04.2021","156.89","157.98","164.28","155.57","36.52M","1.82%"
"01.03.2021","154.09","142.74","159.80","142.14","61.82M","7.65%"
"01.02.2021","143.14","141.44","147.70","136.21","55.56M","2.46%"
"01.01.2021","139.70","151.40","153.99","139.03","83.01M","-7.08%"
