"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"01.01.2025","383.00","376.93","400.00","363.39","12.71M","4.49%"
"01.12.2024","366.54","378.55","409.99","353.70","17.00M","-2.34%"
"01.11.2024","375.31","340.69","386.60","329.05","19.74M","10.16%"
"01.10.2024","340.70","337.40","353.84","316.19","24.97M","1.48%"
"01.09.2024","335.73","343.68","355.14","323.20","25.10M","-1.97%"
"01.08.2024","342.47","292.94","348.59","278.80","17.23M","17.33%"
"01.07.2024","291.88","274.38","298.51","259.40","18.33M","6.38%"
"01.06.2024","274.38","306.07","306.07","268.49","25.38M","-10.35%"
"01.05.2024","306.07","299.23","316.39","286.95","22.61M","2.31%"
"01.04.2024","299.15","255.95","302.95","249.41","15.96M","16.86%"
"01.03.2024","256.00","241.58","258.86","226.28","23.20M","6.10%"
"01.02.2024","241.29","256.95","277.85","235.86","30.38M","-6.08%"
"01.01.2024","256.90","285.71","287.61","239.16","21.49M","-9.61%"
"01.12.2023","284.21","250.54","298.66","238.75","18.36M","12.05%"
"01.11.2023","253.65","200.75","255.08","199.68","29.00M","25.80%"
"01.10.2023","201.64","276.00","282.82","185.90","45.03M","-26.58%"
"01.09.2023","274.63","302.17","302.40","274.18","16.87M","-8.56%"
"01.08.2023","300.34","305.37","311.49","287.20","17.87M","-1.81%"
"01.07.2023","305.89","294.25","313.84","283.60","13.37M","3.85%"
"01.06.2023","294.56","299.61","322.11","287.63","20.82M","-1.83%"
"01.05.2023","300.07","306.70","315.80","293.89","25.14M","-2.16%"
"01.04.2023","306.70","336.43","345.16","297.29","15.51M","-8.76%"
"01.03.2023","336.15","335.23","343.87","315.43","30.74M","0.76%"
"01.02.2023","333.62","313.52","358.22","312.78","26.10M","7.04%"
"01.01.2023","311.69","267.48","336.98","267.48","18.37M","16.46%"
"01.12.2022","267.64","300.55","304.27","265.72","19.25M","-10.34%"
"01.11.2022","298.52","291.59","325.01","283.60","24.35M","1.45%"
"01.10.2022","294.25","247.35","295.95","244.81","22.78M","20.57%"
"01.09.2022","244.05","274.21","286.89","242.98","22.27M","-11.26%"
"01.08.2022","275.01","264.62","295.38","257.90","34.60M","3.78%"
"01.07.2022","265.00","269.23","285.01","255.71","17.09M","-1.32%"
"01.06.2022","268.54","282.47","287.44","260.88","21.00M","-5.20%"
"01.05.2022","283.28","300.68","300.91","251.82","22.27M","-5.91%"
"01.04.2022","301.08","311.48","318.32","275.66","15.21M","-2.66%"
"01.03.2022","309.31","285.51","311.85","244.78","35.59M","8.29%"
"01.02.2022","285.63","271.29","302.14","267.00","19.04M","5.04%"
"01.01.2022","271.92","271.04","281.87","250.79","24.39M","0.51%"
"01.12.2021","270.53","238.73","273.80","237.19","22.22M","13.92%"
"01.11.2021","237.48","251.49","274.85","232.65","18.35M","-4.56%"
"01.10.2021","248.83","229.71","260.68","229.00","14.09M","8.14%"
"01.09.2021","230.09","216.79","231.73","210.51","27.72M","6.10%"
"01.08.2021","216.87","212.44","219.76","198.45","31.79M","2.15%"
"01.07.2021","212.31","196.72","215.59","192.95","18.67M","7.92%"
"01.06.2021","196.72","200.28","215.18","192.88","27.86M","-1.36%"
"01.05.2021","199.44","190.92","207.45","188.77","16.07M","5.17%"
"01.04.2021","189.64","195.79","203.50","187.23","13.86M","-2.54%"
"01.03.2021","194.57","195.41","220.21","186.32","25.86M","0.95%"
"01.02.2021","192.73","191.24","199.60","180.77","14.46M","2.44%"
"01.01.2021","188.14","202.58","216.50","180.27","15.17M","-7.00%"
