"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"01.01.2025","143.200","134.790","150.590","134.770","145.20M","6.89%"
"01.12.2024","133.970","135.380","146.520","131.600","126.35M","-1.00%"
"01.11.2024","135.330","139.330","150.290","132.760","157.54M","-2.87%"
"01.10.2024","139.330","139.500","157.470","137.010","157.62M","-0.12%"
"01.09.2024","139.500","136.450","148.960","132.630","157.59M","2.42%"
"01.08.2024","136.210","140.190","144.750","130.040","161.52M","-2.44%"
"01.07.2024","139.610","141.620","151.390","137.620","150.16M","-2.07%"
"01.06.2024","142.560","159.900","159.900","131.500","325.67M","-11.66%"
"01.05.2024","161.370","169.990","179.130","153.270","163.98M","-4.82%"
"01.04.2024","169.550","176.990","184.280","168.020","114.01M","-3.87%"
"01.03.2024","176.370","176.590","181.590","166.010","97.37M","0.09%"
"01.02.2024","176.220","175.000","190.120","174.280","96.20M","0.66%"
"01.01.2024","175.060","171.190","177.310","161.560","103.61M","2.52%"
"01.12.2023","170.760","161.890","178.190","156.810","92.98M","5.73%"
"01.11.2023","161.510","146.890","164.890","146.790","101.07M","10.38%"
"01.10.2023","146.320","146.630","153.880","137.750","125.69M","0.14%"
"01.09.2023","146.110","145.290","154.150","142.020","104.70M","1.17%"
"01.08.2023","144.420","158.300","158.590","142.820","112.21M","-9.00%"
"01.07.2023","158.710","141.200","159.020","140.110","103.65M","12.39%"
"01.06.2023","141.210","142.790","147.290","135.010","134.06M","-0.41%"
"01.05.2023","141.790","155.300","158.440","141.050","151.74M","-8.80%"
"01.04.2023","155.480","151.320","159.380","144.610","77.37M","2.36%"
"01.03.2023","151.900","154.440","163.750","137.350","179.41M","-1.64%"
"01.02.2023","154.440","156.140","165.980","151.010","113.51M","-1.12%"
"01.01.2023","156.190","139.910","159.790","139.910","99.93M","11.64%"
"01.12.2022","139.910","154.690","155.340","139.300","107.97M","-9.33%"
"01.11.2022","154.300","161.110","167.790","147.220","131.28M","-4.19%"
"01.10.2022","161.050","129.490","165.970","128.810","186.54M","24.54%"
"01.09.2022","129.320","118.980","139.930","115.730","132.91M","8.69%"
"01.08.2022","118.980","115.810","128.200","109.010","147.13M","2.58%"
"01.07.2022","115.990","112.000","120.880","108.540","145.98M","3.41%"
"01.06.2022","112.170","127.540","127.650","106.120","161.31M","-12.09%"
"01.05.2022","127.590","135.090","143.970","119.830","183.76M","-5.29%"
"01.04.2022","134.710","149.990","150.690","133.730","162.19M","-9.92%"
"01.03.2022","149.550","137.930","162.280","129.940","239.90M","7.95%"
"01.02.2022","138.540","131.500","142.990","120.600","148.06M","5.97%"
"01.01.2022","130.740","133.490","150.500","125.910","154.02M","-1.71%"
"01.12.2021","133.020","129.210","137.500","121.880","131.71M","3.82%"
"01.11.2021","128.130","130.990","138.000","122.310","137.71M","-1.70%"
"01.10.2021","130.350","132.570","141.590","130.030","129.39M","-1.67%"
"01.09.2021","132.570","132.880","133.370","121.040","108.75M","-0.01%"
"01.08.2021","132.580","129.590","133.880","124.660","119.79M","2.74%"
"01.07.2021","129.050","128.300","132.280","122.100","100.60M","0.23%"
"01.06.2021","128.760","136.790","144.000","126.410","128.31M","-6.34%"
"01.05.2021","137.480","116.000","139.110","115.820","132.46M","19.29%"
"01.04.2021","115.250","116.500","123.560","114.730","106.73M","0.10%"
"01.03.2021","115.130","105.690","121.790","102.160","185.98M","9.58%"
"01.02.2021","105.060","102.100","115.030","101.970","141.51M","3.44%"
"01.01.2021","101.570","110.060","118.980","100.900","156.85M","-7.60%"
