"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"01.01.2025","101.590","100.230","107.500","97.000","104.49M","2.69%"
"01.12.2024","98.930","99.070","108.830","97.000","85.60M","0.66%"
"01.11.2024","98.280","105.870","112.000","97.970","83.97M","-6.12%"
"01.10.2024","104.690","107.600","112.920","104.010","98.61M","-4.63%"
"01.09.2024","109.770","102.520","115.970","98.020","104.71M","8.92%"
"01.08.2024","100.780","104.980","109.500","97.950","136.62M","-4.02%"
"01.07.2024","105.000","99.000","113.420","98.840","157.15M","6.70%"
"01.06.2024","98.410","104.880","107.230","92.060","197.00M","-6.17%"
"01.05.2024","104.880","105.850","115.500","100.620","150.04M","-0.92%"
"01.04.2024","105.850","98.250","111.820","97.600","129.87M","7.87%"
"01.03.2024","98.130","82.490","99.750","81.710","112.27M","18.60%"
"01.02.2024","82.740","89.600","92.650","81.900","79.99M","-6.83%"
"01.01.2024","88.810","93.700","95.130","79.990","93.97M","-5.70%"
"01.12.2023","94.180","79.010","95.390","77.580","108.00M","18.30%"
"01.11.2023","79.610","73.950","80.370","72.550","98.38M","8.27%"
"01.10.2023","73.530","83.780","83.780","73.000","146.31M","-10.86%"
"01.09.2023","82.490","82.190","85.780","79.800","93.51M","1.58%"
"01.08.2023","81.210","87.000","87.890","76.730","114.24M","-6.70%"
"01.07.2023","87.040","82.420","90.320","80.330","73.12M","5.62%"
"01.06.2023","82.410","79.110","87.960","78.900","100.82M","4.97%"
"01.05.2023","78.510","88.410","89.740","76.270","125.43M","-11.20%"
"01.04.2023","88.410","85.450","94.280","83.010","100.87M","3.61%"
"01.03.2023","85.330","82.700","89.330","78.740","105.78M","3.95%"
"01.02.2023","82.090","83.600","86.890","78.450","121.51M","-1.97%"
"01.01.2023","83.740","68.740","88.250","68.350","159.14M","22.41%"
"01.12.2022","68.410","78.270","81.970","68.020","106.46M","-13.05%"
"01.11.2022","78.680","73.000","82.800","68.690","160.71M","9.54%"
"01.10.2022","71.830","69.030","75.650","61.690","143.56M","5.45%"
"01.09.2022","68.120","75.460","86.820","67.740","128.81M","-10.70%"
"01.08.2022","76.280","80.320","84.390","74.570","152.34M","-5.36%"
"01.07.2022","80.600","82.450","85.480","73.270","119.91M","-3.21%"
"01.06.2022","83.270","97.240","103.000","79.120","143.54M","-14.34%"
"01.05.2022","97.210","95.040","105.070","88.720","165.63M","1.77%"
"01.04.2022","95.520","118.990","121.950","94.650","105.19M","-19.73%"
"01.03.2022","119.000","105.760","122.100","102.550","183.05M","13.26%"
"01.02.2022","105.070","89.000","106.500","87.250","124.88M","18.60%"
"01.01.2022","88.590","89.010","95.990","85.100","98.26M","-0.78%"
"01.12.2021","89.290","89.840","94.450","83.730","120.42M","-0.48%"
"01.11.2021","89.720","90.980","91.790","82.530","139.71M","-0.66%"
"01.10.2021","90.320","82.380","96.500","78.080","120.35M","9.62%"
"01.09.2021","82.390","91.750","92.900","79.070","132.30M","-11.93%"
"01.08.2021","93.550","92.220","95.800","85.500","123.36M","2.57%"
"01.07.2021","91.210","93.100","99.620","88.050","128.95M","-2.72%"
"01.06.2021","93.760","97.600","100.890","85.000","178.18M","-3.48%"
"01.05.2021","97.140","92.110","109.980","89.270","177.30M","6.08%"
"01.04.2021","91.570","107.590","110.000","89.810","204.88M","-14.79%"
"01.03.2021","107.460","101.110","109.930","98.520","213.18M","8.18%"
"01.02.2021","99.330","87.850","110.520","85.380","177.61M","13.08%"
"01.01.2021","87.840","85.870","98.540","85.870","149.55M","4.42%"
