"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"01.01.2025","51,209.53","49,606.88","52,375.65","48,878.40","3.52B","3.43%"
"01.12.2024","49,513.27","49,954.98","52,291.89","48,769.88","4.08B","-0.60%"
"01.11.2024","49,812.64","50,688.27","52,594.22","49,458.79","4.25B","-1.67%"
"01.10.2024","50,661.05","52,324.65","53,141.54","50,520.96","4.72B","-3.46%"
"01.09.2024","52,477.30","52,133.89","54,201.46","50,782.11","4.63B","0.95%"
"01.08.2024","51,985.87","53,138.53","54,343.28","51,259.73","4.78B","-2.09%"
"01.07.2024","53,093.97","52,452.44","55,120.42","51,802.50","5.22B","1.25%"
"01.06.2024","52,440.02","54,967.91","55,730.31","51,358.97","5.71B","-4.96%"
"01.05.2024","55,179.24","56,766.40","58,169.69","54,352.15","4.58B","-2.73%"
"01.04.2024","56,727.98","57,423.51","58,298.77","55,383.25","4.43B","-1.12%"
"01.03.2024","57,369.01","55,396.30","57,599.08","54,713.48","3.77B","3.53%"
"01.02.2024","55,414.00","57,367.28","59,020.55","55,085.80","4.13B","-3.41%"
"01.01.2024","57,372.76","57,456.81","57,829.01","54,346.58","3.97B","-0.02%"
"01.12.2023","57,386.25","53,955.79","58,338.32","53,400.76","3.81B","6.15%"
"01.11.2023","54,060.01","49,051.92","54,165.81","48,976.86","4.20B","10.19%"
"01.10.2023","49,061.88","51,001.79","51,305.93","47,765.06","4.67B","-3.56%"
"01.09.2023","50,874.98","53,233.15","53,661.62","50,783.07","4.93B","-4.05%"
"01.08.2023","53,020.98","54,791.48","54,901.90","52,610.14","7.29B","-3.28%"
"01.07.2023","54,819.05","53,536.94","55,244.82","53,117.59","3.74B","2.42%"
"01.06.2023","53,526.10","52,803.58","55,407.72","52,687.43","4.70B","1.50%"
"01.05.2023","52,736.26","55,059.26","55,626.51","52,575.14","5.59B","-4.33%"
"01.04.2023","55,121.22","54,037.67","55,178.62","53,308.07","2.40B","2.26%"
"01.03.2023","53,904.00","52,720.40","54,604.07","51,814.68","4.32B","2.17%"
"01.02.2023","52,758.06","54,555.91","55,173.58","52,141.14","3.43B","-3.31%"
"01.01.2023","54,564.27","48,506.04","55,309.97","48,478.94","2.79B","12.59%"
"01.12.2022","48,463.86","51,649.60","51,811.17","48,383.20","2.87B","-6.23%"
"01.11.2022","51,684.86","50,004.42","52,457.14","49,431.48","3.96B","3.53%"
"01.10.2022","49,922.30","44,779.20","49,990.94","44,686.64","4.08B","11.87%"
"01.09.2022","44,626.80","44,851.23","47,944.60","44,518.73","3.81B","-0.65%"
"01.08.2022","44,919.22","48,094.47","48,944.49","44,844.18","3.53B","-6.70%"
"01.07.2022","48,144.33","47,543.35","48,584.14","46,164.27","2.76B","1.30%"
"01.06.2022","47,524.45","51,739.87","51,820.68","46,344.94","4.15B","-8.17%"
"01.05.2022","51,752.53","51,426.27","52,745.98","48,669.21","5.50B","0.65%"
"01.04.2022","51,417.97","56,530.56","57,064.16","51,315.04","3.13B","-9.05%"
"01.03.2022","56,536.68","53,403.89","56,730.53","51,884.08","5.17B","5.87%"
"01.02.2022","53,400.61","51,511.27","53,901.91","50,003.09","3.95B","4.03%"
"01.01.2022","51,330.85","53,278.11","54,219.14","49,673.64","3.23B","-3.64%"
"01.12.2021","53,272.44","49,879.76","53,630.53","49,869.01","3.42B","7.19%"
"01.11.2021","49,698.72","51,353.61","52,577.33","49,064.67","3.93B","-3.14%"
"01.10.2021","51,309.84","51,376.69","52,942.26","50,558.16","2.99B","-0.15%"
"01.09.2021","51,385.55","53,400.27","53,400.27","50,402.92","3.33B","-3.60%"
"01.08.2021","53,304.74","50,983.80","53,375.89","50,669.77","3.11B","4.79%"
"01.07.2021","50,868.32","50,244.02","51,856.68","48,598.09","2.49B","1.15%"
"01.06.2021","50,289.75","50,943.24","51,705.23","49,832.11","3.14B","-1.17%"
"01.05.2021","50,885.95","48,191.68","51,066.86","48,089.57","3.06B","5.99%"
"01.04.2021","48,009.72","47,575.61","49,399.62","47,138.34","2.97B","1.62%"
"01.03.2021","47,246.26","44,787.66","48,314.24","44,614.68","4.43B","5.95%"
"01.02.2021","44,592.91","43,152.31","45,738.15","43,152.31","4.48B","3.74%"
"01.01.2021","42,985.73","44,200.04","46,925.06","42,900.96","4.04B","-2.45%"
