"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"01.01.2025","53.720","55.240","58.560","53.510","415.64M","-2.13%"
"01.12.2024","54.890","54.160","62.790","53.400","480.13M","1.84%"
"01.11.2024","53.900","55.380","56.700","51.580","471.21M","-2.04%"
"01.10.2024","55.020","59.490","61.750","54.690","549.14M","-7.01%"
"01.09.2024","59.170","62.780","63.500","58.040","421.40M","-5.74%"
"01.08.2024","62.770","62.000","64.300","58.690","506.40M","1.31%"
"01.07.2024","61.960","62.490","68.740","60.800","479.51M","-0.48%"
"01.06.2024","62.260","63.310","64.190","59.360","524.37M","-2.40%"
"01.05.2024","63.790","64.370","69.450","63.110","424.05M","-0.20%"
"01.04.2024","63.920","67.340","68.250","62.730","348.17M","-4.60%"
"01.03.2024","67.000","67.900","68.540","65.330","274.65M","-1.83%"
"01.02.2024","68.250","71.110","73.500","67.500","369.68M","-4.02%"
"01.01.2024","71.110","71.500","72.420","65.800","380.31M","-0.64%"
"01.12.2023","71.570","67.980","72.390","64.790","243.36M","5.11%"
"01.11.2023","68.090","64.210","70.660","63.990","290.42M","5.52%"
"01.10.2023","64.530","65.880","67.050","59.280","399.24M","-1.63%"
"01.09.2023","65.600","67.440","68.040","61.790","391.30M","-2.34%"
"01.08.2023","67.170","69.710","71.040","66.610","338.55M","-3.64%"
"01.07.2023","69.710","67.720","70.540","66.910","251.76M","2.94%"
"01.06.2023","67.720","67.220","70.190","66.000","428.50M","0.74%"
"01.05.2023","67.220","72.400","75.290","66.710","398.67M","-7.27%"
"01.04.2023","72.490","72.130","72.890","69.840","226.51M","0.64%"
"01.03.2023","72.030","71.870","75.090","70.610","294.38M","0.03%"
"01.02.2023","72.010","73.910","75.610","70.010","227.53M","-2.37%"
"01.01.2023","73.760","68.590","76.420","68.410","230.54M","7.54%"
"01.12.2022","68.590","76.400","76.670","68.210","251.90M","-10.60%"
"01.11.2022","76.720","76.650","79.150","70.520","308.22M","0.25%"
"01.10.2022","76.530","71.060","78.350","70.110","298.82M","8.05%"
"01.09.2022","70.830","65.970","77.240","65.870","314.74M","7.58%"
"01.08.2022","65.840","73.700","74.590","64.810","259.95M","-10.83%"
"01.07.2022","73.840","69.680","74.790","67.620","229.95M","6.51%"
"01.06.2022","69.330","72.510","74.520","65.310","310.47M","-4.73%"
"01.05.2022","72.770","72.180","78.810","68.010","429.33M","0.85%"
"01.04.2022","72.160","82.000","82.930","71.830","239.10M","-11.91%"
"01.03.2022","81.920","77.790","82.930","73.610","427.87M","5.16%"
"01.02.2022","77.900","70.530","78.140","69.150","278.44M","11.06%"
"01.01.2022","70.140","76.490","76.790","68.500","271.79M","-7.82%"
"01.12.2021","76.090","68.370","79.990","68.280","356.58M","12.93%"
"01.11.2021","67.380","72.180","76.950","67.120","252.80M","-6.17%"
"01.10.2021","71.810","70.150","74.420","68.290","261.32M","2.40%"
"01.09.2021","70.130","71.360","74.420","69.220","313.94M","-1.86%"
"01.08.2021","71.460","65.830","73.430","65.810","343.57M","8.90%"
"01.07.2021","65.620","64.830","66.840","62.560","154.42M","0.85%"
"01.06.2021","65.070","65.500","66.520","62.500","329.31M","-0.50%"
"01.05.2021","65.400","66.770","66.770","61.510","242.03M","-1.37%"
"01.04.2021","66.310","64.790","67.440","62.060","228.61M","2.85%"
"01.03.2021","64.470","59.990","70.400","59.930","349.48M","8.03%"
"01.02.2021","59.680","58.990","63.790","57.550","317.38M","2.28%"
"01.01.2021","58.350","56.100","68.250","56.100","370.64M","4.23%"
